"id","code","minXDomain","maxXDomain","ukValue","gbValue","ewValue","engValue","maxValue","minValue","ltCount","ltMedian","utCount","utMedian","maxPercentageChange","maxAbsoluteChange"
23,"employment-rate-long-Economic Activity Rate",2004,2022,78.3,78.4,78.5,78.6,97,59.6,361,78.8,180,77.7,6078.57142857143,1172901.4
24,"employment-rate-long-Economic Inactivity Rate",2004,2022,21.7,21.6,21.5,21.4,40.4,7,361,21.2,180,22.3,1521.42857142857,1172958.6
25,"female-healthy-life-expectancy",4011,4018,63.59,NA,NA,63.87,77.49,53.49,191,62.56,215,62.67,3289.04761904762,1172916.13
26,"male-healthy-life-expectancy",4011,4018,62.83,NA,NA,63.14,74.65,53.34,191,61.92,215,62.47,3278.09523809524,1172916.86
27,"gcses-and-equivalent-in-english-and-maths-by-age-19",2016,2021,NA,NA,NA,74.89243956,94.73684211,50.12594458,308,75.213473775,151,74.54346238,5731.05853785714,1172905.10756044
28,"gigabit-capable-broadband",1023,1023,NA,NA,NA,NA,97.8,1.6,374,73.45,193,80.5,NA,NA
29,"gross-disposable-household-income-per-head",997,1020,21440,21561,21730,21962,227911,5561,374,20200.5,193,19180,2478806.25,1151018
30,"gross-median-weekly-pay",1002,1022,532.5,535,535.6,536.6,833.1,270.4,372,521.9,215,519.8,39135.7142857143,1172443.4
31,"gross-value-added-per-hour-worked",1004,1021,NA,NA,NA,38.91,77.92,15.8,374,34.275,193,34.34,3599.41176470588,1172941.09
32,"homicide-offences",4019,4019,NA,NA,10.8397121974233,10.9040092554317,14.758798403899,6.77176420572185,0,NA,0,NA,NA,NA
33,"inward-foreign-direct-investment-fdi",1015,1021,2002355,NA,NA,NA,2002355,10448,0,NA,0,NA,63972903.1948882,2002351.87
34,"overweight-adults-aged-18-years-and-over",2015,2021,NA,NA,NA,63.80687,77.61223,38.47955,309,65.04907,152,65.303495,4701.81642857143,1172916.19313
35,"overweight-children-at-reception-age-aged-four-to-five-years",2006,2021,NA,NA,NA,22.25472,36.74242424,10.85271,305,21.9917,148,22.2546,1336.55214285714,1172957.74528
36,"overweight-children-at-year-6-age-aged-10-to-11-years",2006,2021,NA,NA,NA,37.7598,50.48231511,16.93989,305,36.78756,148,38.360475,2158.85214285714,1172942.2402
37,"persistent-absences-for-all-pupils",2008,2021,NA,NA,NA,22.50843,28.84749,1.08696,127,22.44093,151,22.43737,875.498983050847,1172957.49157
38,"persistent-absences-for-pupils-eligible-for-free-school-meals",2017,2021,NA,NA,NA,36.52231,55.55556,3.125,127,36.71605,151,37.77871,1841.26227272727,1172943.47769
39,"persistent-absences-for-pupils-looked-after-by-local-authorities",2016,2021,NA,NA,NA,19.1,46.5,0,126,19.1,150,19.15,1376.19047619048,1172960.9
40,"pupils-at-expected-standards-by-end-of-primary-school",2015,2021,NA,NA,NA,59,81,42,126,59,150,59,Inf,1172921
41,"schools-and-nursery-schools-rated-good-or-outstanding",2023,2023,NA,NA,NA,88.6646176430112,100,73.469387755102,126,89.4736842105263,149,89.2655367231638,NA,NA
42,"total-value-of-uk-exports",1021,1021,654014,NA,NA,539232,654014,13245,0,NA,0,NA,NA,NA
